q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0525, 0.8590, 0.0016, 2.4147, 0.0053 			      |	0.0525, 0.8575, 0.0015, 2.4106, 0.0053 
0.0525, 0.8620, 0.0017, 2.4234, 0.0056 			      |	0.0525, 0.8592, 0.0016, 2.4155, 0.0056 
0.0530, 0.8596, 0.0012, 2.4166, 0.0047 			      |	0.0530, 0.8564, 0.0012, 2.4076, 0.0046 
0.0537, 0.8591, 0.0018, 2.4154, 0.0065 			      |	0.0537, 0.8552, 0.0018, 2.4046, 0.0065 
0.0540, 0.8574, 0.0012, 2.4109, 0.0049 			      |	0.0540, 0.8535, 0.0012, 2.3998, 0.0048 
0.0545, 0.8543, 0.0015, 2.4023, 0.0052 			      |	0.0545, 0.8529, 0.0015, 2.3982, 0.0052 
0.0545, 0.8559, 0.0015, 2.4069, 0.0053 			      |	0.0545, 0.8531, 0.0015, 2.3990, 0.0052 
0.0556, 0.8532, 0.0012, 2.3996, 0.0049 			      |	0.0556, 0.8493, 0.0012, 2.3886, 0.0048 
0.0557, 0.8535, 0.0013, 2.4004, 0.0052 			      |	0.0557, 0.8497, 0.0013, 2.3897, 0.0052 
0.0565, 0.8500, 0.0016, 2.3906, 0.0053 			      |	0.0565, 0.8485, 0.0016, 2.3866, 0.0053 
0.0565, 0.8519, 0.0017, 2.3961, 0.0056 			      |	0.0565, 0.8491, 0.0017, 2.3882, 0.0056 
0.0572, 0.8514, 0.0012, 2.3948, 0.0048 			      |	0.0572, 0.8479, 0.0012, 2.3851, 0.0048 
0.0572, 0.8503, 0.0012, 2.3918, 0.0049 			      |	0.0572, 0.8464, 0.0012, 2.3809, 0.0048 
0.0580, 0.8475, 0.0016, 2.3843, 0.0060 			      |	0.0580, 0.8437, 0.0016, 2.3736, 0.0059 
0.0582, 0.8470, 0.0012, 2.3827, 0.0047 			      |	0.0582, 0.8441, 0.0012, 2.3746, 0.0046 
0.0584, 0.8480, 0.0017, 2.3857, 0.0056 			      |	0.0584, 0.8452, 0.0017, 2.3779, 0.0056 
0.0586, 0.8459, 0.0014, 2.3799, 0.0054 			      |	0.0586, 0.8412, 0.0014, 2.3667, 0.0053 
0.0589, 0.8463, 0.0012, 2.3811, 0.0050 			      |	0.0589, 0.8421, 0.0012, 2.3693, 0.0049 
0.0590, 0.8451, 0.0012, 2.3778, 0.0050 			      |	0.0590, 0.8412, 0.0012, 2.3666, 0.0049 
0.0602, 0.8430, 0.0013, 2.3720, 0.0052 			      |	0.0602, 0.8392, 0.0013, 2.3614, 0.0052 
0.0603, 0.8415, 0.0016, 2.3680, 0.0054 			      |	0.0603, 0.8401, 0.0016, 2.3639, 0.0054 
0.0603, 0.8436, 0.0017, 2.3739, 0.0054 			      |	0.0603, 0.8409, 0.0016, 2.3662, 0.0054 
0.0605, 0.8416, 0.0012, 2.3684, 0.0049 			      |	0.0605, 0.8375, 0.0012, 2.3567, 0.0049 
0.0622, 0.8392, 0.0012, 2.3621, 0.0050 			      |	0.0622, 0.8351, 0.0012, 2.3505, 0.0049 
0.0622, 0.8389, 0.0018, 2.3612, 0.0057 			      |	0.0622, 0.8374, 0.0018, 2.3571, 0.0057 
0.0622, 0.8391, 0.0017, 2.3618, 0.0057 			      |	0.0622, 0.8364, 0.0017, 2.3541, 0.0056 
0.0625, 0.8393, 0.0012, 2.3625, 0.0049 			      |	0.0625, 0.8356, 0.0012, 2.3519, 0.0049 
0.0634, 0.8352, 0.0012, 2.3511, 0.0047 			      |	0.0634, 0.8321, 0.0012, 2.3424, 0.0047 
0.0639, 0.8336, 0.0012, 2.3469, 0.0049 			      |	0.0639, 0.8295, 0.0012, 2.3353, 0.0049 
0.0640, 0.8323, 0.0017, 2.3432, 0.0056 			      |	0.0640, 0.8309, 0.0017, 2.3392, 0.0055 
0.0640, 0.8346, 0.0018, 2.3497, 0.0058 			      |	0.0640, 0.8319, 0.0018, 2.3420, 0.0058 
0.0648, 0.8339, 0.0012, 2.3480, 0.0049 			      |	0.0648, 0.8302, 0.0012, 2.3375, 0.0048 
0.0655, 0.8307, 0.0012, 2.3391, 0.0049 			      |	0.0655, 0.8266, 0.0012, 2.3275, 0.0048 
0.0658, 0.8315, 0.0019, 2.3416, 0.0059 			      |	0.0658, 0.8288, 0.0019, 2.3339, 0.0058 
0.0658, 0.8305, 0.0018, 2.3386, 0.0058 			      |	0.0658, 0.8291, 0.0018, 2.3346, 0.0057 
0.0670, 0.8276, 0.0013, 2.3308, 0.0052 			      |	0.0670, 0.8232, 0.0013, 2.3185, 0.0051 
